CONTINENT GMI>>,<<NAME>>,<<FIPS CODE>>,<<ISO 2 CHARACTOR CODE>>,<<ISO 3 CHARACTOR CODE>>,<<GMI CODE
AM-001>>,<<Martinique>>,<<MB>>,<<MQ>>,<<MTQ>>,<<MTQ>>,<<MTQ
AF-001>>,<<Mauritania>>,<<MR>>,<<MR>>,<<MRT>>,<<MRT>>,<<MRT
AF-001>>,<<Mauritius>>,<<MP>>,<<MU>>,<<MUS>>,<<MUS>>,<<MUS
AF-001>>,<<Mayotte>>,<<MF>>,<<YT>>,<<MYT>>,<<MYT>>,<<MYT
AM-001>>,<<Mexico>>,<<MX>>,<<MX>>,<<MEX>>,<<MEX>>,<<MEX
EU-001>>,<<Moldova>>,<<MD>>,<<MD>>,<<MDA>>,<<MDA>>,<<MDA
EU-001>>,<<Monaco>>,<<MN>>,<<MC>>,<<MCO>>,<<MCO>>,<<MCO
AS-001>>,<<Mongolia>>,<<MG>>,<<MN>>,<<MNG>>,<<MNG>>,<<MNG
EU-001>>,<<Montenegro>>,<<MJ>>,<<ME>>,<<MNE>>,<<MON>>,<<MNE
AM-001>>,<<Montserrat>>,<<MH>>,<<MS>>,<<MSR>>,<<MSR>>,<<MSR
AF-001>>,<<Morocco>>,<<MO>>,<<MA>>,<<MAR>>,<<MAR>>,<<MAR
AF-001>>,<<Mozambique>>,<<MZ>>,<<MZ>>,<<MOZ>>,<<MOZ>>,<<MOZ
AS-001>>,<<Myanmar>>,<<BM>>,<<MM>>,<<MMR>>,<<MMR>>,<<MMR
AF-001>>,<<Namibia>>,<<WA>>,<<NA>>,<<NAM>>,<<NAM>>,<<NAM
OA-001>>,<<Nauru>>,<<NR>>,<<NR>>,<<NRU>>,<<NRU>>,<<NRU
AS-001>>,<<Nepal>>,<<NP>>,<<NP>>,<<NPL>>,<<NPL>>,<<NPL
EU-001>>,<<Netherlands>>,<<NL>>,<<NL>>,<<NLD>>,<<NLD>>,<<NLD
AM-001>>,<<Netherlands Antilles>>,<<NT>>,<<AN>>,<<ANT>>,<<ANT>>,<<ANT
OA-001>>,<<New Caledonia>>,<<NC>>,<<NC>>,<<NCL>>,<<NCL>>,<<NCL
OA-001>>,<<New Zealand>>,<<NZ>>,<<NZ>>,<<NZL>>,<<NZL>>,<<NZL
AM-001>>,<<Nicaragua>>,<<NU>>,<<NI>>,<<NIC>>,<<NIC>>,<<NIC
AF-001>>,<<Niger>>,<<NG>>,<<NE>>,<<NER>>,<<NER>>,<<NER
AF-001>>,<<Nigeria>>,<<NI>>,<<NG>>,<<NGA>>,<<NGA>>,<<NGA
OA-001>>,<<Niue>>,<<NE>>,<<NU>>,<<NIU>>,<<NIU>>,<<NIU
AS-001>>,<<North Korea>>,<<KN>>,<<KP>>,<<PRK>>,<<PRK>>,<<PRK
OA-001>>,<<Northern Mariana Islands>>,<<NM>>,<<NM>>,<<MNP>>,<<MNP>>,<<MNP
EU-001>>,<<Norway>>,<<NO>>,<<NO>>,<<NOR>>,<<NOR>>,<<NOR
AS-001>>,<<Oman>>,<<MU>>,<<OM>>,<<OMN>>,<<OMN>>,<<OMN
AS-001>>,<<Pakistan>>,<<PK>>,<<PK>>,<<PAK>>,<<PAK>>,<<PAK
OA-001>>,<<Palau>>,<<PS>>,<<PW>>,<<PLW>>,<<PLW>>,<<PLW
AS-001>>,<<Palestine>>,<<WE>>,<<PS>>,<<PLE>>,<<PLE>>,<<PLE
AM-001>>,<<Panama>>,<<PM>>,<<PA>>,<<PAN>>,<<PAN>>,<<PAN
AF-001>>,<<Papua New Guinea>>,<<PP>>,<<PG>>,<<PNG>>,<<PNG>>,<<PNG
AM-001>>,<<Paraguay>>,<<PA>>,<<PY>>,<<PRY>>,<<PRY>>,<<PRY
AM-001>>,<<Peru>>,<<PE>>,<<PE>>,<<PER>>,<<PER>>,<<PER
AS-001>>,<<Philippines>>,<<RP>>,<<PH>>,<<PHL>>,<<PHL>>,<<PHL
EU-001>>,<<Poland>>,<<PL>>,<<PL>>,<<POL>>,<<POL>>,<<POL
EU-001>>,<<Portugal>>,<<PO>>,<<PT>>,<<PRT>>,<<PRT>>,<<PRT
AM-001>>,<<Puerto Rico>>,<<RQ>>,<<PR>>,<<PRI>>,<<PRI>>,<<PRI
AS-001>>,<<Qatar>>,<<QA>>,<<QA>>,<<QAT>>,<<QAT>>,<<QAT
AF-001>>,<<Republic of the Congo>>,<<CF>>,<<CG>>,<<COG>>,<<COG>>,<<COG
AF-001>>,<<Reunion>>,<<RE>>,<<RE>>,<<REU>>,<<REU>>,<<REU
EU-001>>,<<Romania>>,<<RO>>,<<RO>>,<<ROU>>,<<ROU>>,<<ROU
EU-001>>,<<Russia>>,<<RS>>,<<RU>>,<<RUS>>,<<RUS>>,<<RUS
AF-001>>,<<Rwanda>>,<<RW>>,<<RW>>,<<RWA>>,<<RWA>>,<<RWA
AM-001>>,<<Saint Barthelemy>>,<<TB>>,<<BL>>,<<BLM>>,<<>>,<<BLM
AF-001>>,<<Saint Helena>>,<<SH>>,<<SH>>,<<SHN>>,<<SHN>>,<<SHN
AM-001>>,<<Saint Kitts and Nevis>>,<<SC>>,<<KN>>,<<KNA>>,<<KNA>>,<<KNA
AM-001>>,<<Saint Lucia>>,<<ST>>,<<LC>>,<<LCA>>,<<LCA>>,<<LCA
AM-001>>,<<Saint Martin>>,<<RN>>,<<MF>>,<<MAF>>,<<>>,<<MAF
AM-001>>,<<Saint Pierre and Miquelon>>,<<SB>>,<<PM>>,<<SPM>>,<<SPM>>,<<SPM
AM-001>>,<<Saint Vincent and the Grenadines>>,<<VC>>,<<VC>>,<<VCT>>,<<VCT>>,<<VCT
OA-001>>,<<Samoa>>,<<WS>>,<<WS>>,<<WSM>>,<<WSM>>,<<WSM
EU-001>>,<<San Marino>>,<<SM>>,<<SM>>,<<SMR>>,<<SMR>>,<<SMR
AF-001>>,<<Sao Tome and Principe>>,<<TP>>,<<ST>>,<<STP>>,<<STP>>,<<STP
AS-001>>,<<Saudi Arabia>>,<<SA>>,<<SA>>,<<SAU>>,<<SAU>>,<<SAU
AF-001>>,<<Senegal>>,<<SG>>,<<SN>>,<<SEN>>,<<SEN>>,<<SEN
EU-001>>,<<Serbia>>,<<RI>>,<<RS>>,<<SRB>>,<<SRB>>,<<SRB
AF-001>>,<<Seychelles>>,<<SE>>,<<SC>>,<<SYC>>,<<SYC>>,<<SYC
AF-001>>,<<Sierra Leone>>,<<SL>>,<<SL>>,<<SLE>>,<<SLE>>,<<SLE
AS-001>>,<<Singapore>>,<<SN>>,<<SG>>,<<SGP>>,<<SGP>>,<<SGP
EU-001>>,<<Slovakia>>,<<LO>>,<<SK>>,<<SVK>>,<<SVK>>,<<SVK
EU-001>>,<<Slovenia>>,<<SI>>,<<SI>>,<<SVN>>,<<SVN>>,<<SVN
