PROVINCE NAME>>,<<CHINESE NAME>>,<<PROVINCE GMI
Antioquia>>,<<Antioquia>>,<<COL-ANT
Boyaca>>,<<Boyaca>>,<<COL-BOY
Cordoba>>,<<Cordoba>>,<<COL-CRD
Santander>>,<<Santander>>,<<COL-SNT
Minnesota>>,<<明尼苏达>>,<<USA-MNN
Montana>>,<<蒙大纳>>,<<USA-MNT
North Dakota>>,<<北达科他州>>,<<USA-NDA
Baker I.>>,<<Baker I.>>,<<UMI-BKI
Howland I.>>,<<Howland I.>>,<<UMI-HWI
Johnston Atoll>>,<<Johnston Atoll>>,<<UMI-JNA
Midway Is.>>,<<Midway Is.>>,<<UMI-MDI
Hawaii>>,<<夏威夷>>,<<USA-HAW
Alberta>>,<<阿尔伯塔>>,<<CAN-ALB
British Columbia>>,<<英属哥伦比亚>>,<<CAN-BCL
Nunavut>>,<<努纳武特地区>>,<<CAN-NNV
Northwest Territories>>,<<西北地区>>,<<CAN-NTR
Yukon Territory>>,<<育空地区>>,<<CAN-YTR
Idaho>>,<<爱达荷州>>,<<USA-IDA
Washington>>,<<华盛顿>>,<<USA-WSH
Baja California>>,<<Baja California>>,<<MEX-BCN
Arizona>>,<<亚利桑那州>>,<<USA-ARZ
California>>,<<加利福尼亚>>,<<USA-CAL
Colorado>>,<<科罗拉多>>,<<USA-COL
Nevada>>,<<内华达州>>,<<USA-NEV
New Mexico>>,<<新墨西哥>>,<<USA-NME
Oregon>>,<<俄勒冈>>,<<USA-ORE
Utah>>,<<犹他州>>,<<USA-UTA
Wyoming>>,<<怀俄明>>,<<USA-WYM
Baja California Sur>>,<<Baja California Sur>>,<<MEX-BCS
Coahuila>>,<<Coahuila>>,<<MEX-CDZ
Chihuahua>>,<<Chihuahua>>,<<MEX-CHH
Durango>>,<<Durango>>,<<MEX-DRN
Sinaloa>>,<<Sinaloa>>,<<MEX-SIN
Sonora>>,<<Sonora>>,<<MEX-SON
Zacatecas>>,<<Zacatecas>>,<<MEX-ZCT
Arkansas>>,<<阿肯色州>>,<<USA-ARK
Iowa>>,<<爱荷华>>,<<USA-IOW
Kansas>>,<<堪萨斯>>,<<USA-KAN
Missouri>>,<<密苏里>>,<<USA-MOS
Nebraska>>,<<内布拉斯加州>>,<<USA-NEB
Oklahoma>>,<<奥克拉荷马>>,<<USA-OKL
South Dakota>>,<<南达科他州>>,<<USA-SDA
Nuevo Leon>>,<<Nuevo Leon>>,<<MEX-NLE
San Luis Potosi>>,<<San Luis Potosi>>,<<MEX-SLP
Tamaulipas>>,<<Tamaulipas>>,<<MEX-TML
Louisiana>>,<<路易斯安那>>,<<USA-LOU
Texas>>,<<德克萨斯>>,<<USA-TEX
Aguascalientes>>,<<Aguascalientes>>,<<MEX-AGS
Colima>>,<<Colima>>,<<MEX-COL
Jalisco>>,<<Jalisco>>,<<MEX-JLS
Michoacan>>,<<Michoacan>>,<<MEX-MDO
Nayarit>>,<<Nayarit>>,<<MEX-NYR
Campeche>>,<<Campeche>>,<<MEX-CMP
Oaxaca>>,<<Oaxaca>>,<<MEX-OAX
Puebla>>,<<Puebla>>,<<MEX-PUE
Tabasco>>,<<Tabasco>>,<<MEX-TBS
Tlaxcala>>,<<Tlaxcala>>,<<MEX-TLX
Distrito Federal>>,<<Distrito Federal>>,<<MEX-DTD
Guanajuato>>,<<Guanajuato>>,<<MEX-GNJ
Guerrero>>,<<Guerrero>>,<<MEX-GRR
Hidalgo>>,<<Hidalgo>>,<<MEX-HDL
Mexico>>,<<Mexico>>,<<MEX-MEX
Morelos>>,<<Morelos>>,<<MEX-MRL
Queretaro>>,<<Queretaro>>,<<MEX-QDA
Veracruz>>,<<Veracruz>>,<<MEX-VLL
Baja Verapaz>>,<<Baja Verapaz>>,<<GTM-BVR
Huehuetenango>>,<<Huehuetenango>>,<<GTM-HHT
Peten>>,<<Peten>>,<<GTM-PET
Quiche>>,<<Quiche>>,<<GTM-QUI
Quezaltenango>>,<<Quezaltenango>>,<<GTM-QZL
Retalhuleu>>,<<Retalhuleu>>,<<GTM-RTL
San Marcos>>,<<San Marcos>>,<<GTM-SMR
Chiapas>>,<<Chiapas>>,<<MEX-CHP
Alta Verapaz>>,<<Alta Verapaz>>,<<GTM-AVR
Chimaltenango>>,<<Chimaltenango>>,<<GTM-CHM
Escuintla>>,<<Escuintla>>,<<GTM-ESC
Guatemala>>,<<Guatemala>>,<<GTM-GTM
Suchitepequez>>,<<Suchitepequez>>,<<GTM-SCH
Sacatepequez>>,<<Sacatepequez>>,<<GTM-SCT
Solola>>,<<Solola>>,<<GTM-SOL
Totonicapan>>,<<Totonicapan>>,<<GTM-TTN
El Progreso>>,<<El Progreso>>,<<GTM-EPR
Santa Rosa>>,<<Santa Rosa>>,<<GTM-SRO
Aruba>>,<<Aruba>>,<<ABW
Netherlands Antilles>>,<<Netherlands Antilles>>,<<ANT
La Guajira>>,<<La Guajira>>,<<COL-LGU
Cienfuegos>>,<<Cienfuegos>>,<<CUB-CNF
Isla de la Juventud>>,<<Isla de la Juventud>>,<<CUB-IDL
Pinar del Rio>>,<<Pinar del Rio>>,<<CUB-PDR
Sancti Spiritus>>,<<Sancti Spiritus>>,<<CUB-SSP
Cayman Is.>>,<<Cayman Is.>>,<<CYM
Falcon>>,<<Falcon>>,<<VEN-FLC
Belize>>,<<Belize>>,<<BLZ-BLZ
Cayo>>,<<Cayo>>,<<BLZ-CAY
Corozal>>,<<Corozal>>,<<BLZ-CRZ
Orange Walk>>,<<Orange Walk>>,<<BLZ-OWA
Bermuda>>,<<Bermuda>>,<<BMU
