CITY NAME>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<COUNTRY FIPS CODE>>,<<COUNTRY GMI
Lima>>,<<Lima>>,<<PER-LIM>>,<<Peru>>,<<PE>>,<<PER>>,<<PER026
Belem>>,<<Para>>,<<BRA-PAR>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA006
Manaus>>,<<Amazonas>>,<<BRA-AMZ>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA008
Porto Velho>>,<<Rondonia>>,<<BRA-RND>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA009
Palmas>>,<<Tocantins>>,<<BRA-TCN>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA010
Trinidad>>,<<El Beni>>,<<BOL-EBE>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL003
Cochabamba>>,<<Cochabamba>>,<<BOL-CCH>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL004
Santa Cruz de La Sierra>>,<<Santa Cruz>>,<<BOL-SCR>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL005
Oruro>>,<<Oruro>>,<<BOL-ORU>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL006
Potosi>>,<<Potosi>>,<<BOL-POT>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL008
Fortin Coronel Eugenia Garay>>,<<Nueva Asuncion>>,<<PRY-NAS>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY008
Tarija>>,<<Tarija>>,<<BOL-TAR>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL009
Concepcion>>,<<Concepcion>>,<<PRY-CNC>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY009
Pozo Colorado>>,<<Presidente Hayes>>,<<PRY-PHA>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY010
San Pedro>>,<<San Pedro>>,<<PRY-SPE>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY011
Asuncion>>,<<Central>>,<<PRY-CNT>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY012
Artigas>>,<<Artigas>>,<<URY-ART>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY001
Santa Fe>>,<<Santa Fe>>,<<ARG-SFE>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG008
Parana>>,<<Entre Rios>>,<<ARG-ERI>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG009
Rosario>>,<<Santa Fe>>,<<ARG-SFE>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG010
La Plata>>,<<Buenos Aires>>,<<ARG-BAI>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG011
San Jose De Mayo>>,<<San Jose>>,<<URY-SJO>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY002
Colonia del Sacramento>>,<<Colonia>>,<<URY-COL>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY003
Canelones>>,<<Canelones>>,<<URY-CNL>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY004
Santa Rosa>>,<<La Pampa>>,<<ARG-LPA>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG012
