PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
Eastern>>,<<UG20>>,<<Uganda>>,<<UG>>,<<UGA>>,<<UGA-EST>>,<<UGA-EST
Karamoja>>,<<UG08>>,<<Uganda>>,<<UG>>,<<UGA>>,<<UGA-KRM>>,<<UGA-KRM
Gamo Gofa>>,<<ET39>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-GGO>>,<<ETH-GGO
Gojam>>,<<ET28>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-GOJ>>,<<ETH-GOJ
Ilubabor>>,<<ET40>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-ILB>>,<<ETH-ILB
Kefa>>,<<ET41>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-KEF>>,<<ETH-KEF
Shewa>>,<<ET27>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-SHE>>,<<ETH-SHE
Welega>>,<<ET43>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-WEL>>,<<ETH-WEL
Arsi>>,<<ET01>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-ARS>>,<<ETH-ARS
Bale>>,<<ET38>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-BAL>>,<<ETH-BAL
Harerge>>,<<ET26>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-HRR>>,<<ETH-HRR
Awdal>>,<<SO>>,<<Somalia>>,<<SO>>,<<SOM>>,<<SOM-AWD>>,<<SOM-AWD
Woqooyi Galbeed>>,<<SO16>>,<<Somalia>>,<<SO>>,<<SOM>>,<<SOM-WGL>>,<<SOM-WGL
Sidamo>>,<<ET42>>,<<Ethiopia>>,<<ET>>,<<ETH>>,<<ETH-SID>>,<<ETH-SID
North-Eastern>>,<<KE06>>,<<Kenya>>,<<KE>>,<<KEN>>,<<KEN-NES>>,<<KEN-NES
Bakool>>,<<SO01>>,<<Somalia>>,<<SO>>,<<SOM>>,<<SOM-BAK>>,<<SOM-BAK
Bay>>,<<SO04>>,<<Somalia>>,<<SO>>,<<SOM>>,<<SOM-BAY>>,<<SOM-BAY
Gedo>>,<<SO06>>,<<Somalia>>,<<SO>>,<<SOM>>,<<SOM-GED>>,<<SOM-GED
Jubbada Dhexe>>,<<SO08>>,<<Somalia>>,<<SO>>,<<SOM>>,<<SOM-JDH>>,<<SOM-JDH
Shabeellaha Hoose>>,<<SO14>>,<<Somalia>>,<<SO>>,<<SOM>>,<<SOM-SHO>>,<<SOM-SHO
Nordrhein-Westfalen>>,<<GM07>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-NWS>>,<<DEU-NWS
Drenthe>>,<<NL01>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-DRN>>,<<NLD-DRN
Friesland>>,<<NL02>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-FRS>>,<<NLD-FRS
Gelderland>>,<<NL03>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-GLD>>,<<NLD-GLD
Groningen>>,<<NL04>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-GRN>>,<<NLD-GRN
Limburg>>,<<NL05>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-LMB>>,<<NLD-LMB
Overijssel>>,<<NL08>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-OVR>>,<<NLD-OVR
Troms>>,<<NO18>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-TRM>>,<<NOR-TRM
Svalbard>>,<<SV>>,<<Svalbard>>,<<SV>>,<<SJM>>,<<SJM>>,<<SJM
Baden-Wurttemberg>>,<<GM01>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-BWR>>,<<DEU-BWR
Hessen>>,<<GM05>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-HSS>>,<<DEU-HSS
Hainaut>>,<<BE03>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-HAI>>,<<BEL-HAI
Luxembourg>>,<<BE06>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-LXM>>,<<BEL-LXM
Namur>>,<<BE07>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-NAM>>,<<BEL-NAM
Bremen>>,<<GM03>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-BRM>>,<<DEU-BRM
Niedersachsen>>,<<GM06>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-NDR>>,<<DEU-NDR
Thuringen>>,<<GM15>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-THR>>,<<DEU-THR
Oost-Vlaanderen>>,<<BE08>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-OVL>>,<<BEL-OVL
West-Vlaanderen>>,<<BE09>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-WVL>>,<<BEL-WVL
Flevoland>>,<<NL>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-FLV>>,<<NLD-FLV
Zeeland>>,<<NL10>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-ZLN>>,<<NLD-ZLN
Antwerpen>>,<<BE01>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-ANT>>,<<BEL-ANT
Brabant>>,<<BE02>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-BRB>>,<<BEL-BRB
Bruxelles-Brussel>>,<<BE>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-BRS>>,<<BEL-BRS
Limburg>>,<<BE05>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-LMB>>,<<BEL-LMB
Nivelles>>,<<BE>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-NVL>>,<<BEL-NVL
Noord-Brabant>>,<<NL06>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-NBR>>,<<NLD-NBR
Utrecht>>,<<NL09>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-UTR>>,<<NLD-UTR
Zuid-Holland>>,<<NL11>>,<<Netherlands>>,<<NL>>,<<NLD>>,<<NLD-ZHL>>,<<NLD-ZHL
Hamburg>>,<<GM04>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-HMB>>,<<DEU-HMB
Schleswig-Holstein>>,<<GM10>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-SHL>>,<<DEU-SHL
Arhus>>,<<DA01>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-ARH>>,<<DNK-ARH
Fyn>>,<<DA04>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-FYN>>,<<DNK-FYN
Ribe>>,<<DA08>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-RIB>>,<<DNK-RIB
Ringkobing>>,<<DA09>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-RNG>>,<<DNK-RNG
Sonderjylland>>,<<DA11>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-SND>>,<<DNK-SND
Vejle>>,<<DA13>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-VEJ>>,<<DNK-VEJ
Fribourg>>,<<SZ06>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-FRB>>,<<CHE-FRB
Geneve>>,<<SZ07>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-GEN>>,<<CHE-GEN
Jura>>,<<SZ26>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-JUR>>,<<CHE-JUR
Neuchatel>>,<<SZ12>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-NCH>>,<<CHE-NCH
Vaud>>,<<SZ23>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-VAU>>,<<CHE-VAU
Piemonte>>,<<IT12>>,<<Italy>>,<<IT>>,<<ITA>>,<<ITA-PMN>>,<<ITA-PMN
Valle d'Aosta>>,<<IT19>>,<<Italy>>,<<IT>>,<<ITA>>,<<ITA-VDA>>,<<ITA-VDA
Aargau>>,<<SZ01>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-AAR>>,<<CHE-AAR
Bern>>,<<SZ05>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-BER>>,<<CHE-BER
Basel-Landschaft>>,<<SZ03>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-BLN>>,<<CHE-BLN
Basel-Stadt>>,<<SZ04>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-BST>>,<<CHE-BST
Luzern>>,<<SZ11>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-LZR>>,<<CHE-LZR
Nidwalden>>,<<SZ13>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-NDW>>,<<CHE-NDW
Obwalden>>,<<SZ14>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-OBW>>,<<CHE-OBW
Solothurn>>,<<SZ18>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-SLT>>,<<CHE-SLT
Valais>>,<<SZ22>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-VAL>>,<<CHE-VAL
Liege>>,<<BE04>>,<<Belgium>>,<<BE>>,<<BEL>>,<<BEL-LIE>>,<<BEL-LIE
Rheinland-Pfalz>>,<<GM08>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-RPF>>,<<DEU-RPF
Saarland>>,<<GM09>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-SRL>>,<<DEU-SRL
Diekirch>>,<<LU01>>,<<Luxembourg>>,<<LU>>,<<LUX>>,<<LUX-DKR>>,<<LUX-DKR
Grevenmacher>>,<<LU02>>,<<Luxembourg>>,<<LU>>,<<LUX>>,<<LUX-GRV>>,<<LUX-GRV
Luxembourg>>,<<LU03>>,<<Luxembourg>>,<<LU>>,<<LUX>>,<<LUX-LXM>>,<<LUX-LXM
Vorarlberg>>,<<AU08>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-VRR>>,<<AUT-VRR
Appenzell Inner-Rhoden>>,<<SZ10>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-AIR>>,<<CHE-AIR
Appenzell Ausser-Rhoden>>,<<SZ02>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-ASR>>,<<CHE-ASR
Sankt Gallen>>,<<SZ15>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-SGL>>,<<CHE-SGL
Ticino>>,<<SZ20>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-TIC>>,<<CHE-TIC
Lombardia>>,<<IT09>>,<<Italy>>,<<IT>>,<<ITA>>,<<ITA-LMB>>,<<ITA-LMB
Liechtenstein>>,<<LS>>,<<Liechtenstein>>,<<LS>>,<<LIE>>,<<LIE>>,<<LIE
Glarus>>,<<SZ08>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-GLR>>,<<CHE-GLR
Graubunden>>,<<SZ09>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-GRB>>,<<CHE-GRB
Schaffhausen>>,<<SZ16>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-SCH>>,<<CHE-SCH
Schwyz>>,<<SZ17>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-SCW>>,<<CHE-SCW
Thurgau>>,<<SZ19>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-THR>>,<<CHE-THR
Uri>>,<<SZ21>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-URI>>,<<CHE-URI
Zurich>>,<<SZ25>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-ZRC>>,<<CHE-ZRC
Zug>>,<<SZ24>>,<<Switzerland>>,<<SZ>>,<<CHE>>,<<CHE-ZUG>>,<<CHE-ZUG
More Og Romsdal>>,<<NO08>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-MOR>>,<<NOR-MOR
Sor-Trondelag>>,<<NO16>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-STR>>,<<NOR-STR
Chukotskiy avtonomnyy okrug>>,<<RS>>,<<Russia>>,<<RS>>,<<RUS>>,<<RUS-CHU>>,<<RUS-CHU
Alaska>>,<<US02>>,<<United States>>,<<US>>,<<USA>>,<<USA-ALK>>,<<USA-ALK
Nordjylland>>,<<DA07>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-NRD>>,<<DNK-NRD
Viborg>>,<<DA15>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-VBR>>,<<DNK-VBR
Aust-Agder>>,<<NO02>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-AAG>>,<<NOR-AAG
Hordaland>>,<<NO07>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-HRD>>,<<NOR-HRD
Rogaland>>,<<NO14>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-RGL>>,<<NOR-RGL
Sogn Og Fjordane>>,<<NO15>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-SOF>>,<<NOR-SOF
Vest-Agder>>,<<NO19>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-VAG>>,<<NOR-VAG
Akershus>>,<<NO01>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-AKR>>,<<NOR-AKR
Buskerud>>,<<NO04>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-BSK>>,<<NOR-BSK
Hedmark>>,<<NO06>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-HDM>>,<<NOR-HDM
Oppland>>,<<NO11>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-OPP>>,<<NOR-OPP
Oslo>>,<<NO12>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-OSL>>,<<NOR-OSL
Telemark>>,<<NO17>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-TLM>>,<<NOR-TLM
Vestfold>>,<<NO20>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-VST>>,<<NOR-VST
Gavleborgs>>,<<SW03>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-GVL>>,<<SWE-GVL
Jonkopings>>,<<SW08>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-JNK>>,<<SWE-JNK
Kalmar>>,<<SW09>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-KLM>>,<<SWE-KLM
Kopparbergs>>,<<SW10>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-KPP>>,<<SWE-KPP
Kronobergs>>,<<SW12>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-KRN>>,<<SWE-KRN
Orebro>>,<<SW15>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-ORB>>,<<SWE-ORB
Ostergotlands>>,<<SW16>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-OST>>,<<SWE-OST
Sodermanlands>>,<<SW18>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-SDR>>,<<SWE-SDR
Vastmanlands>>,<<SW25>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-VSM>>,<<SWE-VSM
Ostfold>>,<<NO13>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-OST>>,<<NOR-OST
Alvsborgs>>,<<SW01>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-ALV>>,<<SWE-ALV
Goteborgs Och Bohus>>,<<SW04>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-GOB>>,<<SWE-GOB
Hallands>>,<<SW06>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-HLL>>,<<SWE-HLL
Skaraborgs>>,<<SW17>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-SKR>>,<<SWE-SKR
Varmlands>>,<<SW22>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-VRM>>,<<SWE-VRM
Nordland>>,<<NO09>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-NRD>>,<<NOR-NRD
Nord-Trondelag>>,<<NO10>>,<<Norway>>,<<NO>>,<<NOR>>,<<NOR-NTR>>,<<NOR-NTR
Jamtlands>>,<<SW07>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-JMT>>,<<SWE-JMT
Norrbottens>>,<<SW14>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-NRR>>,<<SWE-NRR
Vasternorrlands>>,<<SW24>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-VSR>>,<<SWE-VSR
Vasterbottens>>,<<SW23>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-VST>>,<<SWE-VST
Ahvenanmaa>>,<<FI01>>,<<Finland>>,<<FI>>,<<FIN>>,<<FIN-AHR>>,<<FIN-AHR
Gotlands>>,<<SW05>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-GTL>>,<<SWE-GTL
Stockholms>>,<<SW26>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-STC>>,<<SWE-STC
Uppsala>>,<<SW21>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-UPP>>,<<SWE-UPP
Burgenland>>,<<AU01>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-BRG>>,<<AUT-BRG
Steiermark>>,<<AU06>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-STR>>,<<AUT-STR
Vas>>,<<HU22>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-VAS>>,<<HUN-VAS
Elblag>>,<<PL30>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-ELB>>,<<POL-ELB
Gdansk>>,<<PL31>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-GDN>>,<<POL-GDN
Olsztyn>>,<<PL47>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-OLS>>,<<POL-OLS
Slupsk>>,<<PL60>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-SLP>>,<<POL-SLP
Kaliningradskaya oblast'>>,<<RS>>,<<Russia>>,<<RS>>,<<RUS>>,<<RUS-KNG>>,<<RUS-KNG
Slovenia>>,<<SI>>,<<Slovenia>>,<<SI>>,<<SVN>>,<<SVN>>,<<SVN
Karnten>>,<<AU02>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-KRN>>,<<AUT-KRN
Oberosterreich>>,<<AU04>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-OBR>>,<<AUT-OBR
Salzburg>>,<<AU05>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-SLZ>>,<<AUT-SLZ
Tirol>>,<<AU07>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-TIR>>,<<AUT-TIR
Zapadocesky>>,<<EZ>>,<<Czech Republic>>,<<EZ>>,<<CZE>>,<<CZE-ZPD>>,<<CZE-ZPD
Bayern>>,<<GM02>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-BYR>>,<<DEU-BYR
Friuli-Venezia Giulia>>,<<IT06>>,<<Italy>>,<<IT>>,<<ITA>>,<<ITA-FVG>>,<<ITA-FVG
Trentino-Alto Adige>>,<<IT17>>,<<Italy>>,<<IT>>,<<ITA>>,<<ITA-TAA>>,<<ITA-TAA
Veneto>>,<<IT20>>,<<Italy>>,<<IT>>,<<ITA>>,<<ITA-VEN>>,<<ITA-VEN
Niederosterreich>>,<<AU03>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-NDR>>,<<AUT-NDR
Wien>>,<<AU09>>,<<Austria>>,<<AU>>,<<AUT>>,<<AUT-WIE>>,<<AUT-WIE
Jihocesky>>,<<EZ>>,<<Czech Republic>>,<<EZ>>,<<CZE>>,<<CZE-JHC>>,<<CZE-JHC
Jihomoravsky>>,<<EZ>>,<<Czech Republic>>,<<EZ>>,<<CZE>>,<<CZE-JHM>>,<<CZE-JHM
Stredocesky>>,<<EZ>>,<<Czech Republic>>,<<EZ>>,<<CZE>>,<<CZE-STR>>,<<CZE-STR
Severocesky>>,<<EZ>>,<<Czech Republic>>,<<EZ>>,<<CZE>>,<<CZE-SVC>>,<<CZE-SVC
Vychodocesky>>,<<EZ>>,<<Czech Republic>>,<<EZ>>,<<CZE>>,<<CZE-VYC>>,<<CZE-VYC
Walbrzych>>,<<PL66>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-WLB>>,<<POL-WLB
Berlin>>,<<GM16>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-BER>>,<<DEU-BER
Brandenburg>>,<<GM11>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-BRN>>,<<DEU-BRN
Sachsen-Anhalt>>,<<GM14>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-SCA>>,<<DEU-SCA
Sachsen>>,<<GM13>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-SCH>>,<<DEU-SCH
Bornholm>>,<<DA02>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-BRN>>,<<DNK-BRN
Koszalin>>,<<PL38>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-KSZ>>,<<POL-KSZ
Blekinge>>,<<SW02>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-BLK>>,<<SWE-BLK
Mecklenburg-Vorpommern>>,<<GM12>>,<<Germany>>,<<GM>>,<<DEU>>,<<DEU-MKV>>,<<DEU-MKV
Frederiksborg>>,<<DA03>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-FRD>>,<<DNK-FRD
Kobenhavn>>,<<DA05>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-KBN>>,<<DNK-KBN
Roskilde>>,<<DA10>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-RSK>>,<<DNK-RSK
Staden Kobenhavn>>,<<DA06>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-SKB>>,<<DNK-SKB
Storstrom>>,<<DA12>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-STR>>,<<DNK-STR
Vestsjalland>>,<<DA14>>,<<Denmark>>,<<DA>>,<<DNK>>,<<DNK-VST>>,<<DNK-VST
Kristianstads>>,<<SW11>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-KRS>>,<<SWE-KRS
Malmohus>>,<<SW13>>,<<Sweden>>,<<SW>>,<<SWE>>,<<SWE-MLM>>,<<SWE-MLM
Gorzow>>,<<PL32>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-GRZ>>,<<POL-GRZ
Jelenia Gora>>,<<PL33>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-JGO>>,<<POL-JGO
Legnica>>,<<PL41>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-LGN>>,<<POL-LGN
Leszno>>,<<PL42>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-LSZ>>,<<POL-LSZ
Pila>>,<<PL50>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-PIL>>,<<POL-PIL
Poznan>>,<<PL53>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-PZN>>,<<POL-PZN
Szczecin>>,<<PL62>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-SZC>>,<<POL-SZC
Zielona Gora>>,<<PL71>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-ZGO>>,<<POL-ZGO
Bydgoszcz>>,<<PL26>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-BYD>>,<<POL-BYD
Czestochowa>>,<<PL29>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-CZS>>,<<POL-CZS
Kalisz>>,<<PL34>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-KLS>>,<<POL-KLS
Konin>>,<<PL37>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-KON>>,<<POL-KON
Lodz>>,<<PL43>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-LOD>>,<<POL-LOD
Sieradz>>,<<PL58>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-SRD>>,<<POL-SRD
Torun>>,<<PL65>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-TOR>>,<<POL-TOR
Wloclawek>>,<<PL68>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-WLC>>,<<POL-WLC
Wroclaw>>,<<PL69>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-WRC>>,<<POL-WRC
Ciechanow>>,<<PL28>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-CCH>>,<<POL-CCH
Kielce>>,<<PL36>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-KIE>>,<<POL-KIE
Lomza>>,<<PL44>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-LOM>>,<<POL-LOM
Ostroleka>>,<<PL49>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-OST>>,<<POL-OST
Plock>>,<<PL52>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-PLC>>,<<POL-PLC
Piotrkow>>,<<PL51>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-PTR>>,<<POL-PTR
Skierniewice>>,<<PL59>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-SKR>>,<<POL-SKR
Warszawa>>,<<PL67>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-WRS>>,<<POL-WRS
Lublin>>,<<PL45>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-LBL>>,<<POL-LBL
Radom>>,<<PL55>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-RAD>>,<<POL-RAD
Siedlce>>,<<PL57>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-SDL>>,<<POL-SDL
Tarnobrzeg>>,<<PL63>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-TRN>>,<<POL-TRN
Baranya>>,<<HU02>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-BRN>>,<<HUN-BRN
Gyor-Moson-Sopron>>,<<HU09>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-GSP>>,<<HUN-GSP
Somogy>>,<<HU17>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-SMG>>,<<HUN-SMG
Veszprem>>,<<HU23>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-VSZ>>,<<HUN-VSZ
Zala>>,<<HU24>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-ZAL>>,<<HUN-ZAL
Budapest>>,<<HU05>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-BDP>>,<<HUN-BDP
Bacs-Kiskun>>,<<HU01>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-BKS>>,<<HUN-BKS
Fejer>>,<<HU08>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-FEJ>>,<<HUN-FEJ
Komarom-Esztergom>>,<<HU12>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-KMR>>,<<HUN-KMR
Pest>>,<<HU16>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-PES>>,<<HUN-PES
Tolna>>,<<HU21>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-TOL>>,<<HUN-TOL
Severomoravsky>>,<<EZ>>,<<Czech Republic>>,<<EZ>>,<<CZE>>,<<CZE-SVM>>,<<CZE-SVM
Nograd>>,<<HU14>>,<<Hungary>>,<<HU>>,<<HUN>>,<<HUN-NGR>>,<<HUN-NGR
Bielsko>>,<<PL25>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-BLS>>,<<POL-BLS
Katowice>>,<<PL35>>,<<Poland>>,<<PL>>,<<POL>>,<<POL-KTW>>,<<POL-KTW
