PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
El Beni>>,<<BL03>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-EBE>>,<<BOL-EBE
Potosi>>,<<BL07>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-POT>>,<<BOL-POT
Santa Cruz>>,<<BL08>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-SCR>>,<<BOL-SCR
Tarija>>,<<BL09>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-TAR>>,<<BOL-TAR
Alto Paraguay>>,<<PA18>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-APR>>,<<PRY-APR
Chaco>>,<<PA20>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-CHA>>,<<PRY-CHA
Nueva Asuncion>>,<<PA21>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-NAS>>,<<PRY-NAS
Distrito Federal>>,<<BR07>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-DFD>>,<<BRA-DFD
Goias>>,<<BR29>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-GOI>>,<<BRA-GOI
Mato Grosso do Sul>>,<<BR11>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-MGD>>,<<BRA-MGD
Minas Gerais>>,<<BR15>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-MGE>>,<<BRA-MGE
Mato Grosso>>,<<BR14>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-MGR>>,<<BRA-MGR
Buenos Aires>>,<<AR01>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-BAI>>,<<ARG-BAI
Distrito Federal>>,<<AR07>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-DFD>>,<<ARG-DFD
La Pampa>>,<<AR11>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-LPA>>,<<ARG-LPA
Rio Negro>>,<<AR16>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-RNE>>,<<ARG-RNE
